date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2025-03-14,212.184937,106.762276,225.593658,84.005806,23.184433,197.949997,39.581867,24.867992
2025-03-17,212.691772,108.536873,227.039795,86.082581,23.481899,195.740005,40.114269,25.101892
2025-03-18,211.389801,108.422386,228.049133,84.242027,23.716269,192.820007,40.317558,24.896061
2025-03-19,213.924210,110.111122,232.067200,84.970383,23.626127,195.539993,40.859634,25.111248
2025-03-20,212.791168,110.578621,231.970139,84.458572,23.608101,194.949997,41.121002,25.064470
2025-03-21,216.935669,110.196983,234.512985,84.858292,23.689228,196.210007,41.111320,25.279654
2025-03-24,219.380630,110.483208,240.753586,86.348587,23.563030,203.259995,41.692127,25.223516
2025-03-25,222.382172,111.236938,243.733154,83.654198,23.031195,205.710007,41.895409,25.550974
2025-03-26,220.175751,112.839806,243.636093,84.098335,22.724710,201.130005,41.450123,25.869076
2025-03-27,222.481583,112.477249,240.811813,84.512848,22.544430,201.360001,41.198437,26.383652
2025-03-28,216.567963,112.324600,235.697037,84.039116,22.724710,192.720001,39.930351,26.364937
2025-03-31,220.772095,113.469505,238.074905,86.644669,22.841894,190.259995,40.394997,26.458496
2025-04-01,221.825607,113.574455,236.483170,87.671104,22.120764,192.169998,40.162670,26.645613
2025-04-02,222.521317,113.221436,238.579559,88.588974,22.264988,196.009995,40.511154,26.327515
2025-04-03,201.947861,107.267944,221.954102,86.121590,21.895409,178.410004,36.029282,26.757885
2025-04-04,187.228409,99.549377,205.343445,82.104675,20.705538,171.000000,33.289810,24.924129
2025-04-07,180.350708,98.213661,209.405777,82.736336,20.399057,175.259995,34.441742,25.101892
2025-04-08,171.365967,96.143288,211.778717,80.722946,19.686937,170.660004,33.909332,24.690228
2025-04-09,197.634384,100.942345,228.838593,88.431053,20.272858,191.100006,35.961510,24.765078
2025-04-10,189.255936,95.341866,221.778336,89.427879,19.461582,181.220001,34.703102,24.952290
2025-04-11,196.938660,98.404480,230.654922,91.589310,19.750040,184.869995,34.799904,25.330502
2025-04-14,201.281967,98.642998,229.209656,93.494133,19.939333,182.119995,35.496872,25.718163
2025-04-15,200.904282,98.366310,227.657013,92.744049,20.227789,179.589996,36.774647,26.001820
2025-04-16,193.082382,99.406273,224.219635,90.000313,19.867222,174.330002,36.135761,25.547970
2025-04-17,195.775833,102.010925,226.514481,92.003830,19.957363,172.610001,36.213196,25.670887
2025-04-21,191.979172,100.512993,223.614212,91.204407,19.867222,167.320007,35.738873,24.895559
2025-04-22,198.518951,103.327560,230.059265,93.612564,20.308914,173.179993,37.094082,25.491238
2025-04-23,203.349258,102.440262,235.225082,93.721123,20.182716,180.600006,37.510330,25.708710
2025-04-24,207.096191,103.642410,238.896805,94.589638,20.534271,186.539993,38.313774,26.030186
2025-04-25,208.000610,103.585167,237.832382,93.849426,20.660467,188.990005,38.420254,25.349411
2025-04-28,208.855392,103.642410,237.510147,93.977745,20.777651,187.699997,38.507374,25.774895
2025-04-29,209.918839,103.384804,238.877258,94.787041,21.444700,187.389999,38.710659,25.812716
2025-04-30,211.200943,100.780151,238.877258,95.981247,22.003578,184.419998,38.604179,26.190926
2025-05-01,212.015930,100.923256,241.093979,96.139168,21.570898,190.199997,38.884899,26.134192
2025-05-02,204.094666,101.333527,246.582016,97.461685,21.814281,189.979996,39.756107,26.105825
2025-05-05,197.674149,98.528503,246.630859,98.034119,21.516813,186.350006,39.804508,26.011276
2025-05-06,197.296494,99.902390,243.398544,97.264305,20.624409,185.009995,39.533466,26.625864
2025-05-07,195.050278,99.806992,243.535278,97.540649,20.543287,188.710007,39.620590,26.569130
2025-05-08,196.282700,101.199944,247.519501,96.158897,20.705538,192.080002,40.269154,25.973454
2025-05-09,197.316330,102.383018,247.138657,95.688965,20.466700,193.059998,40.453072,26.323298
2025-05-12,209.776138,104.148094,253.945007,95.718651,21.210777,208.639999,41.972851,25.538515
2025-05-13,211.905823,104.434303,256.835541,94.857918,21.008682,211.369995,42.863411,25.009024
2025-05-14,211.308731,103.499290,259.403778,95.797791,20.227859,210.250000,43.308701,24.999567
2025-05-15,210.432968,104.548843,261.210358,95.322914,20.760654,205.169998,42.960217,25.841082
2025-05-16,210.243881,104.173325,261.278717,97.192757,20.971937,205.589996,43.260303,26.209835
2025-05-19,207.775818,102.517166,258.661682,97.074043,21.128099,206.160004,43.337742,26.493492
2025-05-20,205.865036,101.053604,259.442841,96.757462,21.605780,204.070007,43.260303,26.266565
2025-05-21,201.117966,99.811493,254.911774,95.402054,21.164846,201.119995,41.866371,25.973454
2025-05-22,200.391479,99.147118,254.550461,94.907394,21.164846,203.100006,41.924446,25.746529
2025-05-23,194.330795,99.204887,254.589493,95.313011,21.422056,200.990005,41.817966,25.926176
2025-05-27,199.247055,99.676689,259.062042,96.539803,21.688456,206.020004,42.805336,25.897810
2025-05-28,199.456024,98.319031,257.304230,96.203415,21.293451,204.720001,42.650455,26.001820
2025-05-29,198.988266,98.877510,258.163574,96.064919,21.541477,205.699997,42.824696,25.888355
2025-05-30,199.883942,98.501991,257.802307,97.667641,21.578222,205.009995,42.718216,26.285475
2025-06-02,200.729843,99.224136,258.446808,98.706451,21.550663,206.649994,42.669815,26.408392
2025-06-03,202.292313,99.946312,260.018982,98.914215,21.449615,205.710007,43.221581,26.436758
2025-06-04,201.844482,98.501991,258.017120,98.290924,21.486359,207.229996,42.940853,25.869446
2025-06-05,199.665009,98.049438,255.800430,96.915749,21.238337,207.910004,42.960217,26.247656
2025-06-06,202.939163,100.398842,259.491669,96.430962,21.449615,213.570007,43.787872,26.550220
2025-06-09,200.481079,101.072853,260.477966,96.411179,22.019156,216.979996,43.690498,26.342205
2025-06-10,201.695190,103.239326,262.294342,96.282570,22.322296,217.610001,43.904720,26.871698
2025-06-11,197.823898,105.251717,261.854828,94.778778,22.487648,213.199997,43.554180,26.796061
2025-06-12,198.241867,105.656136,261.942780,93.819115,22.818350,213.240005,43.447071,26.729872
2025-06-13,195.505096,107.957405,258.730011,93.433273,22.542765,212.100006,42.931007,26.654228
2025-06-16,197.465622,108.304047,264.012939,93.284866,22.414158,216.100006,43.242596,26.446213
2025-06-17,194.698990,109.767609,263.192688,93.245300,22.046713,214.820007,43.067326,26.143646
2025-06-18,195.634506,108.987686,267.528412,94.076340,21.936480,212.520004,43.875507,26.153103
2025-06-20,200.033218,110.441612,268.544037,95.095360,22.019156,209.690002,44.303936,26.257111
